거래일자,시장구분명,종목코드,종목명,시가,고가,저가,종가,거래량,거래대금
"20200302","금시장","KRD040200002","금 99.99K","60990","62100","60900","61520","133905","8223453240"
"20200302","금시장","KRD040201000","미니금 100g","62000","62000","60200","61200","6813","417853830"
"20200303","금시장","KRD040200002","금 99.99K","61400","61500","60880","61390","56556","3460035490"
"20200303","금시장","KRD040201000","미니금 100g","62000","62000","60700","61120","4447","271099790"
"20200304","금시장","KRD040200002","금 99.99K","63010","63300","62390","62390","68053","4266240780"
"20200304","금시장","KRD040201000","미니금 100g","62590","62750","62270","62410","2426","151692870"
"20200305","금시장","KRD040200002","금 99.99K","62570","62660","62280","62370","59188","3700351910"
"20200305","금시장","KRD040201000","미니금 100g","62410","62450","62100","62200","3560","221574670"
"20200306","금시장","KRD040200002","금 99.99K","63520","64100","63510","64010","101956","6504305650"
"20200306","금시장","KRD040201000","미니금 100g","63840","63900","62780","63880","3885","247640070"
"20200309","금시장","KRD040200002","금 99.99K","65010","65520","63960","64480","146448","9511162210"
"20200309","금시장","KRD040201000","미니금 100g","64010","65800","63500","64000","4814","311397480"
"20200310","금시장","KRD040200002","금 99.99K","65150","65150","63460","63500","78441","5026533690"
"20200310","금시장","KRD040201000","미니금 100g","64000","64950","63200","63450","6048","388283870"
"20200311","금시장","KRD040200002","금 99.99K","63260","64200","63030","63810","72579","4614156730"
"20200311","금시장","KRD040201000","미니금 100g","63440","63860","62930","63830","2532","160247750"
"20200312","금시장","KRD040200002","금 99.99K","63790","63790","63010","63410","101497","6418751130"
"20200312","금시장","KRD040201000","미니금 100g","63200","63310","62500","63040","5076","320350200"
"20200313","금시장","KRD040200002","금 99.99K","61350","62600","60930","62240","185506","11435985480"
"20200313","금시장","KRD040201000","미니금 100g","61200","62900","61000","62120","7509","463445410"
"20200316","금시장","KRD040200002","금 99.99K","62080","62080","59880","60750","144221","8744170020"
"20200316","금시장","KRD040201000","미니금 100g","60000","61000","59200","60950","5418","327105810"
"20200317","금시장","KRD040200002","금 99.99K","59900","60210","59350","59610","144644","8647459610"
"20200317","금시장","KRD040201000","미니금 100g","60500","60500","59510","59600","7200","431450400"
"20200318","금시장","KRD040200002","금 99.99K","61000","61110","60380","60480","87294","5309300600"
"20200318","금시장","KRD040201000","미니금 100g","61010","61100","60530","60700","3786","230621850"
"20200319","금시장","KRD040200002","금 99.99K","60420","61150","59980","60720","132681","8017257870"
"20200319","금시장","KRD040201000","미니금 100g","60700","61700","60100","60110","8348","505308700"
"20200320","금시장","KRD040200002","금 99.99K","59420","60110","59420","60080","131766","7888708530"
"20200320","금시장","KRD040201000","미니금 100g","59930","60040","59100","59830","5923","353733330"
"20200323","금시장","KRD040200002","금 99.99K","60100","61380","60100","60960","101849","6229121090"
"20200323","금시장","KRD040201000","미니금 100g","60990","61550","60360","60990","5456","333466620"
"20200324","금시장","KRD040200002","금 99.99K","63990","63990","63240","63430","141917","9035525290"
"20200324","금시장","KRD040201000","미니금 100g","61400","64010","61400","63200","5020","319389480"
"20200325","금시장","KRD040200002","금 99.99K","65300","65450","64040","64340","174107","11278499240"
"20200325","금시장","KRD040201000","미니금 100g","65500","65500","63850","64260","11236","725797680"
"20200326","금시장","KRD040200002","금 99.99K","64330","64500","63640","63770","77876","4972270100"
"20200326","금시장","KRD040201000","미니금 100g","64260","64260","63480","63480","5390","344035360"
"20200327","금시장","KRD040200002","금 99.99K","63930","64000","63500","63840","80852","5162948900"
"20200327","금시장","KRD040201000","미니금 100g","65470","65470","63700","63920","3732","238383130"
"20200330","금시장","KRD040200002","금 99.99K","64100","64350","64000","64190","75352","4836188790"
"20200330","금시장","KRD040201000","미니금 100g","64350","64750","64100","64100","2345","151217900"
"20200331","금시장","KRD040200002","금 99.99K","64190","64190","63790","63840","53862","3440118520"
"20200331","금시장","KRD040201000","미니금 100g","63970","64050","63760","63850","6859","438685290"